"_id","dateOfBirth","dateOfOnBoarding","citizenDetailId","bloodGroup","country","state","district","address","pincode","citizenId","photo","createdAt","updatedAt"
"63b7f59adbb0bea4bd3c68d7","2023-01-05T00:00:00.000Z","2023-01-06T00:00:00.000Z","167300034686981632","A Positive","INDIA","Bihar","Araria","nashik ","423598","167300034686688989","http://javixlife.org:3010/profile/profile-1673000339144.jpg","2023-01-06T10:19:06.870Z","2023-01-06T10:19:06.870Z"
"63b805c6dbb0bea4bd3c68fe","2023-01-04T00:00:00.000Z","2023-01-06T00:00:00.000Z","167300448606613476","","","Javix State","Javix District","","","167300448606489523",,"2023-01-06T11:28:06.067Z","2023-01-06T11:28:06.067Z"
"63b8473a7173cdcfcd0fe41c","2023-01-03T00:00:00.000Z","2023-01-06T00:00:00.000Z","167302124275077524"," AB Positive","INDIA","Assam","Chirang","gaysg","452135","167302124274657582","","2023-01-06T16:07:22.751Z","2023-01-06T16:07:22.751Z"
"63b849077173cdcfcd0fe42e","2023-01-03T00:00:00.000Z","2023-01-06T00:00:00.000Z","167302170384548620","","","Javix State","Javix District","","","167302170384316233",,"2023-01-06T16:15:03.846Z","2023-01-06T16:15:03.846Z"
"63b873207173cdcfcd0fe437","1987-01-07T00:00:00.000Z","2023-01-07T00:00:00.000Z","167303248074989937"," O Positive","INDIA","Goa","South Goa","fonda","588888","167303248074695210","http://javixlife.org:3010/profile/profile-1673032458911.jpg","2023-01-06T19:14:40.750Z","2023-01-06T19:14:40.750Z"
"63b8742f7173cdcfcd0fe43f","2022-12-01T00:00:00.000Z","2023-01-07T00:00:00.000Z","167303275168553250"," AB Negative","INDIA","Maharashtra","Ahmednagar","","226688","167303275168265208","","2023-01-06T19:19:11.686Z","2023-01-06T19:19:11.686Z"
"63b8ffa87173cdcfcd0fe449","2023-01-05T00:00:00.000Z","2023-01-07T00:00:00.000Z","167306845613465928"," AB Negative","INDIA","Dadra and Nagar Haveli ","Dadra &amp; Nagar Haveli","nashik","524359","167306845613230797","http://javixlife.org:3010/profile/profile-1673068452637.jpg","2023-01-07T05:14:16.135Z","2023-01-07T05:14:16.135Z"
"63b909447173cdcfcd0fe45e","2023-01-07T00:00:00.000Z","2023-01-07T00:00:00.000Z","167307091613424588"," AB Negative","INDIA","Daman and Diu ","Daman","Nashik","564834","167307091613230256","","2023-01-07T05:55:16.138Z","2023-01-07T05:55:16.138Z"
"63b909bc7173cdcfcd0fe462","2023-01-07T00:00:00.000Z","2023-01-07T00:00:00.000Z","167307103685470257"," AB Negative","INDIA","Daman and Diu ","Daman","Nashik","564834","167307103685110762","","2023-01-07T05:57:16.855Z","2023-01-07T05:57:16.855Z"
"63b90ae07173cdcfcd0fe46a","2023-01-07T00:00:00.000Z","2023-01-07T00:00:00.000Z","167307132844329191","A Positive","INDIA","Jharkhand","Godda","Pune","564851","167307132844114183","","2023-01-07T06:02:08.446Z","2023-01-07T06:02:08.446Z"
