"citizenId","firstName","lastName","sex","mobile","email","aadhaar","raadhaar","javixId","citizenLoginId","pstatus","isInstant","updatedAt","createdAt","screenerId"
"167662600148199732","ff","cvh","Male","5566555558","ccvbgg@xvb.hgf","422605889988",,"Daman and Diu /Da/00/fc15022023/618","ccvbgg@xvb.hgf",1,0,"2023-02-17T17:41:08.417Z","2023-02-17T09:26:41.485Z","167299905268485932"
"167667929793540062","abhijit","varma","Male","7852363256","abhi1@gmail.com","123456554689",,"Chandigarh /Ch/00/av10022023/717","abhi1@gmail.com",1,0,"2023-02-19T07:09:19.924Z","2023-02-18T00:14:57.937Z","167299905268485932"
"167688368218725722","rahul","sharma","Male","9685696996","as123@gmail.com","245136521316",,"Bihar/Ar/00/rs18022023/164","as123@gmail.com",1,0,"2023-02-21T05:08:14.656Z","2023-02-20T09:01:22.189Z","167299905268485932"
"167695418297049601","sahil","varma","Male","+456598653","sa@gmail.com","562513659565",,"Dadra and Nagar Haveli /Da/00/sv15022023/797","sa@gmail.com",3,0,"2023-02-21T07:25:25.900Z","2023-02-21T04:36:22.971Z","167299905268485932"
"167695715138971423","raj","rajj","Male","8956232653","raj1@gmail.com","452135623265",,"Maharashtra/Ah/00/rr17022023/151","raj1@gmail.com",1,0,"2023-02-23T05:04:09.826Z","2023-02-21T05:25:51.390Z","167299905268485932"
"167704976893371094","vikas","wagh","Male","4521356454","v1@gmail.com","124565326597",,"Andhra Pradesh/An/00/vw10022023/217","v1@gmail.com",1,0,"2023-02-23T05:29:27.170Z","2023-02-22T07:09:28.937Z","167299905268485932"
"167712747559583289","ram","raj","Female","7895632659","rm@gmail.com","123456757976",,"Dadra and Nagar Haveli /Da/00/rr16022023/802","rm@gmail.com",1,0,"2023-02-24T04:30:55.115Z","2023-02-23T04:44:35.597Z","167299905268485932"
"167712924005446620","yash","raj","Male","2546132659","y@gmail.com","111111113265",,"Dadra and Nagar Haveli /Da/00/yr22022023/610","y@gmail.com",1,0,"2023-02-24T04:26:49.579Z","2023-02-23T05:14:00.055Z","167299905268485932"
"167721362672417464","seema","raj","Female","6598623565","s123@gmail.com","452135682451",,"Chandigarh /Ch/00/sr17022023/296","s123@gmail.com",1,0,"2023-02-24T05:00:45.772Z","2023-02-24T04:40:26.725Z","167299905268485932"
"167721517997917012","riyan","adhah","Male","5623623565","r123@gmail.com","124356598546",,"Bihar/Ar/00/ra16022023/358","r123@gmail.com",1,0,"2023-02-24T05:07:34.587Z","2023-02-24T05:06:19.983Z","167299905268485932"
